time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-06-29 15:00:00,SH000001,上证指数,4073.9,1.16,1666220425216.0,0,2,-1,1,,,,,,1241,1045,54.29,1666220425216.0,,,,-0.9,1.0,3
2026-06-29 15:00:00,SZ399001,深证成指,15812.889,0.19,1851533426688.0,0,2,1,1,,,,,,1187,1677,41.45,1851533426688.0,,,,-1.49,8.0,3
2026-06-29 15:00:00,SZ399006,创业板指,4216.7,0.54,921211830272.0,0,2,1,1,,,,,,525,856,38.02,921211830272.0,,,,-0.82,11.0,3
2026-06-29 15:00:00,SH000680,科创综指,2416.67,3.12,606265868288.0,2,2,-2,1,,,,,,337,269,55.61,606265868288.0,,,,3.16,59.0,5
2026-06-26 15:00:00,SH000001,上证指数,4027.26,-2.26,1621195751424.0,-1,2,-1,1,,,,,,371,1948,16.0,1621195751424.0,,,,-1.92,3.0,2
2026-06-26 15:00:00,SZ399001,深证成指,15782.239,-3.44,1931214716928.0,0,2,1,1,,,,,,397,2508,13.67,1931214716928.0,,,,-0.45,17.0,3
2026-06-26 15:00:00,SZ399006,创业板指,4194.21,-4.07,938117562368.0,0,2,1,1,,,,,,208,1182,14.96,938117562368.0,,,,0.05,22.0,3
2026-06-26 15:00:00,SH000680,科创综指,2343.66,-2.02,539400110080.0,2,2,1,1,,,,,,120,484,19.87,539400110080.0,,,,2.85,59.0,5
2026-06-25 15:00:00,SH000001,上证指数,4120.28,0.23,1618996494336.0,1,2,1,1,,,,,,595,1720,25.7,1618996494336.0,,,,-1.03,13.0,4
2026-06-25 15:00:00,SZ399001,深证成指,16344.099,1.82,1975291478016.0,2,2,1,1,,,,,,617,2276,21.33,1975291478016.0,,,,-0.17,30.0,5
2026-06-25 15:00:00,SZ399006,创业板指,4371.99,2.84,983109468160.0,2,2,1,1,,,,,,300,1093,21.54,983109468160.0,,,,0.29,37.0,5
2026-06-25 15:00:00,SH000680,科创综指,2391.95,2.1,556878594048.0,2,2,-2,1,,,,,,195,409,32.28,556878594048.0,,,,3.6,68.0,5
2026-06-24 15:00:00,SH000001,上证指数,4110.81,0.11,1514193289216.0,1,2,1,1,,,,,,622,1693,26.87,1514193289216.0,,,,0.5,15.0,4
2026-06-24 15:00:00,SZ399001,深证成指,16051.34,1.24,1770134962176.0,1,2,1,1,,,,,,777,2122,26.8,1770134962176.0,,,,0.13,26.0,4
2026-06-24 15:00:00,SZ399006,创业板指,4251.42,1.41,853839642624.0,2,2,1,1,,,,,,404,993,28.92,853839642624.0,,,,-0.02,31.0,5
2026-06-24 15:00:00,SH000680,科创综指,2342.64,2.8,507908947968.0,2,2,-2,1,,,,,,274,328,45.51,507908947968.0,,,,1.95,63.0,5
