time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-07-01 15:00:00,SH000001,上证指数,4112.45,0.44,1698487599104.0,2,2,1,1,,,,,,1795,529,77.24,1698487599104.0,,,,2.12,4.0,5
2026-07-01 15:00:00,SZ399001,深证成指,16119.189,-0.53,1961516072960.0,2,2,1,1,,,,,,2306,596,79.46,1961516072960.0,,,,2.13,10.0,5
2026-07-01 15:00:00,SZ399006,创业板指,4260.72,-1.89,988528640000.0,0,2,1,1,,,,,,1072,320,77.01,988528640000.0,,,,1.59,8.0,3
2026-07-01 15:00:00,SH000680,科创综指,2486.64,-1.34,630389800960.0,2,2,-2,1,,,,,,385,219,63.74,630389800960.0,,,,6.1,66.0,5
2026-06-30 15:00:00,SH000001,上证指数,4094.4,0.5,1530326024192.0,0,2,1,1,,,,,,1178,1127,51.11,1530326024192.0,,,,-0.63,2.0,3
2026-06-30 15:00:00,SZ399001,深证成指,16205.579,2.48,1743431663616.0,2,2,1,1,,,,,,1757,1110,61.28,1743431663616.0,,,,-0.85,11.0,5
2026-06-30 15:00:00,SZ399006,创业板指,4342.71,2.99,864429015040.0,2,2,1,1,,,,,,984,394,71.41,864429015040.0,,,,-0.67,15.0,5
2026-06-30 15:00:00,SH000680,科创综指,2520.36,4.29,589680672768.0,2,2,-2,1,,,,,,466,133,77.8,589680672768.0,,,,5.37,69.0,5
2026-06-29 15:00:00,SH000001,上证指数,4073.9,1.16,1666220425216.0,0,2,-1,1,,,,,,1241,1045,54.29,1666220425216.0,,,,-0.9,1.0,3
2026-06-29 15:00:00,SZ399001,深证成指,15812.889,0.19,1851533426688.0,0,2,1,1,,,,,,1187,1677,41.45,1851533426688.0,,,,-1.49,8.0,3
2026-06-29 15:00:00,SZ399006,创业板指,4216.7,0.54,921211830272.0,0,2,1,1,,,,,,525,856,38.02,921211830272.0,,,,-0.82,11.0,3
2026-06-29 15:00:00,SH000680,科创综指,2416.67,3.12,606265868288.0,2,2,-2,1,,,,,,337,269,55.61,606265868288.0,,,,3.16,59.0,5
2026-06-26 15:00:00,SH000001,上证指数,4027.26,-2.26,1621195751424.0,-1,2,-1,1,,,,,,371,1948,16.0,1621195751424.0,,,,-1.92,3.0,2
2026-06-26 15:00:00,SZ399001,深证成指,15782.239,-3.44,1931214716928.0,0,2,1,1,,,,,,397,2508,13.67,1931214716928.0,,,,-0.45,17.0,3
2026-06-26 15:00:00,SZ399006,创业板指,4194.21,-4.07,938117562368.0,0,2,1,1,,,,,,208,1182,14.96,938117562368.0,,,,0.05,22.0,3
2026-06-26 15:00:00,SH000680,科创综指,2343.66,-2.02,539400110080.0,2,2,1,1,,,,,,120,484,19.87,539400110080.0,,,,2.85,59.0,5
