time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-08-26 15:00:00,SH000016,上证50,2893.118,0.61,36720300032.0,-2,-2,-1,-1,,,,,,35,13,72.92,36720300032.0,,,,0.33,-10.0,-5
2026-08-26 15:00:00,SH000300,沪深300,4571.593,0.43,136245805056.0,-1,-2,-1,1,,,,,,226,70,76.35,136245805056.0,,,,-1.02,-9.0,-2
2026-08-26 15:00:00,SZ399903,中证100,4450.884,0.5,68646895616.0,-2,-2,-1,-1,,,,,,72,27,72.73,68646895616.0,,,,-1.31,-12.0,-5
2026-08-26 15:00:00,SH000906,中证800,5112.712,0.41,238658404352.0,-1,-2,-1,1,,,,,,0,0,0.0,238658404352.0,,,,-1.15,-8.0,-2
2026-08-25 15:00:00,SH000016,上证50,2875.51,0.16,134292381696.0,-2,-2,-1,-1,,,,,,26,22,54.17,134292381696.0,,,,-0.21,-13.0,-5
2026-08-25 15:00:00,SH000300,沪深300,4552.03,-0.24,480421576704.0,-1,-2,-1,1,,,,,,164,129,55.97,480421576704.0,,,,-0.89,-9.0,-2
2026-08-25 15:00:00,SZ399903,中证100,4428.86,-0.31,254768611328.0,-2,-2,-1,-1,,,,,,56,42,57.14,254768611328.0,,,,-1.06,-12.0,-5
2026-08-25 15:00:00,SH000906,中证800,5092.05,-0.2,806695600128.0,-1,-2,-1,1,,,,,,0,0,0.0,806695600128.0,,,,-1.13,-8.0,-2
2026-08-24 15:00:00,SH000016,上证50,2870.8,-0.44,174821703680.0,-2,-2,-1,-1,,,,,,30,20,60.0,174821703680.0,,,,-0.86,-13.0,-5
2026-08-24 15:00:00,SH000300,沪深300,4563.13,-1.21,590425620480.0,-1,-2,-1,1,,,,,,146,148,49.66,590425620480.0,,,,-0.56,-5.0,-2
2026-08-24 15:00:00,SZ399903,中证100,4442.47,-1.49,319094784000.0,-2,-2,-1,-1,,,,,,41,59,41.0,319094784000.0,,,,-0.81,-8.0,-5
2026-08-24 15:00:00,SH000906,中证800,5102.19,-1.35,957979426816.0,-1,-2,-1,1,,,,,,0,0,0.0,957979426816.0,,,,-0.64,-3.0,-2
2026-08-21 15:00:00,SH000016,上证50,2883.55,0.07,137610100736.0,-2,-2,-1,-1,,,,,,23,25,47.92,137610100736.0,,,,-1.94,-11.0,-5
2026-08-21 15:00:00,SH000300,沪深300,4618.9,0.57,505501089792.0,-1,1,-1,1,,,,,,127,163,43.79,505501089792.0,,,,-2.26,1.0,1
2026-08-21 15:00:00,SZ399903,中证100,4509.84,0.74,269668827136.0,-2,-2,-1,1,,,,,,45,52,46.39,269668827136.0,,,,-2.32,-1.0,-3
2026-08-21 15:00:00,SH000906,中证800,5172.25,0.43,864446447616.0,-1,1,-1,1,,,,,,0,0,0.0,864446447616.0,,,,-2.73,5.0,1
