time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-06-23 15:00:00,SH000016,上证50,2926.421,-2.86,53965690368.0,0,2,1,1,217727019391.33,0.93,0.56,0.85,0.7658,5,45,10.0,236157555712.0,308371282176.0,254800490803.2,,-1.16,36.0,3
2026-06-23 15:00:00,SH000300,沪深300,4917.345,-2.81,184003809280.0,0,2,1,1,784395962150.49,0.9,0.53,0.82,0.7511,67,228,22.71,860675373056.0,1145900311552.0,957865383014.4,,-1.18,29.0,3
2026-06-23 15:00:00,SZ399903,中证100,4759.883,-3.38,101164599296.0,0,2,1,1,402125772274.91,0.89,0.57,0.83,0.7416,10,90,10.0,435857655808.0,587753845248.0,487188965683.2,,-1.78,29.0,3
2026-06-23 15:00:00,SH000906,中证800,5563.827,-2.62,297162021888.0,1,2,1,1,1317751966623.74,0.9,0.52,0.81,0.7649,0,0,0.0,1457680423936.0,1905746294784.0,1626854279782.4,,-0.9,38.0,4
2026-06-23 11:30:00,SH000016,上证50,2968.505,-1.47,182191865344.0,1,2,1,1,291695601871.5,1.14,1.14,1.14,0.9521,14,35,28.57,182191865344.0,191359848448.0,159146640588.8,,1.36,39.0,4
2026-06-23 11:30:00,SH000300,沪深300,4982.179,-1.53,676671563776.0,1,2,1,1,1059878046305.43,1.11,1.11,1.11,0.9091,109,184,37.2,676671563776.0,744316085248.0,611558476185.6,,0.82,32.0,4
2026-06-23 11:30:00,SZ399903,中证100,4832.372,-1.91,334693056512.0,1,2,1,1,526992304179.52,1.08,1.08,1.08,0.8752,19,77,19.79,334693056512.0,382426606080.0,309401347072.0,,0.48,33.0,4
2026-06-23 11:30:00,SH000906,中证800,5637.713,-1.32,1160518402048.0,1,2,1,1,1792793416320.2,1.1,1.1,1.1,0.9184,0,0,0.0,1160518402048.0,1263616727040.0,1053112250982.4,,1.0,40.0,4
2026-06-22 15:00:00,SH000016,上证50,3012.65,2.86,117011433728.0,1,1,1,1,307916662221.51,1.3,1.29,1.3,1.0643,47,2,95.92,308371282176.0,289737904640.0,236986579097.6,,2.61,36.0,3
2026-06-22 15:00:00,SH000300,沪深300,5059.66,2.39,401584226304.0,1,2,1,1,1133782675508.31,1.27,1.2,1.26,1.1216,247,49,83.45,1145900311552.0,1021710702592.0,902980786483.2,,2.47,29.0,4
2026-06-22 15:00:00,SZ399903,中证100,4926.35,2.43,205327239168.0,1,2,1,1,580026095485.22,1.27,1.19,1.25,1.101,85,13,86.73,587753845248.0,533852226048.0,463020751564.8,,2.63,30.0,4
2026-06-22 15:00:00,SH000906,中证800,5713.38,2.35,642129567744.0,1,2,1,1,1878622762058.18,1.23,1.15,1.21,1.1282,0,0,0.0,1905746294784.0,1689184716800.0,1553736466841.6,,2.47,37.0,4
2026-06-22 11:30:00,SH000016,上证50,2960.75,1.09,191359848448.0,1,1,1,1,309836253512.2,1.31,1.31,1.31,1.029,29,20,59.18,191359848448.0,185963793664.0,146364644249.6,,0.9,30.0,3
2026-06-22 11:30:00,SH000300,沪深300,4976.14,0.7,744316085248.0,1,2,1,1,1180105589854.89,1.31,1.31,1.31,1.1525,147,148,49.83,744316085248.0,645819385856.0,569524057702.4,,0.91,22.0,4
2026-06-22 11:30:00,SZ399903,中证100,4845.96,0.76,382426606080.0,1,1,1,1,610678069238.81,1.32,1.32,1.32,1.124,51,48,51.52,382426606080.0,340223816704.0,289950967398.4,,1.37,22.0,3
2026-06-22 11:30:00,SH000906,中证800,5614.36,0.58,1263616727040.0,1,2,1,1,1976042038529.15,1.27,1.27,1.27,1.171,0,0,0.0,1263616727040.0,1079085621248.0,993585162444.8,,0.88,30.0,4
